name;title;male;culture;mother;father;heir;house;spouse;book1;book2;book3;book4;book5;isAliveMother;isAliveFather;isAliveHeir;isAliveSpouse;isMarried;isNoble;numDeadRelations;isPopular;popularity;Dívida;Capacidade de pagamento anual;
Daenerys Targaryen;Andals;0;Valyrian;;;;House Targaryen;Drogo;1;1;1;1;1;;;;0;1;1;15;1;1; R$ 61.115,00 ; R$ 1.000.000,00 ;
Tyrion Lannister;Hand of the King;1;;;;;House Lannnister;Tysha;1;1;1;1;1;;;;1;1;1;12;1;1; R$ 12.104,00 ; R$ 700.000,00 ;
Cersei Lannister;Light of the West;0;Westerlands;;;;House Lannister;Robert Baratheon;1;1;1;1;1;;;;1;1;1;9;1;1; R$ 54.158,00 ; R$ 700.000,00 ;
Arya Stark;Princess;0;Northmen;;;;House Starrkk;;1;1;1;1;1;;;;;0;1;8;1;1; R$ 9.916,00 ; R$ 500.000,00 ;
Jon Snow;Lord Commander of the Night's Watch;1;Northmen;;;;House Starrkk;;1;1;1;1;1;;;;;0;1;5;1;1; R$ 86.084,00 ; R$ 500.000,00 ;
Canker Jeyne;;0;Braavosi;;;;;;0;0;0;1;0;;;;;0;0;0;0;0.0100334448160535; R$ 42.396,00 ; R$ 64.370,00 ;
Dorcas;;0;;;;;House Lannister;;0;0;0;1;0;;;;;0;0;0;0;0.020066889632107; R$ 38.348,00 ; R$ 74.538,00 ;
Lysa Meadows;;0;;;;;House Meadows;Olymer Tyrell;0;0;1;1;0;;;;1;1;0;0;0;0.130434782608695; R$ 5.674,00 ; R$ 61.494,00 ;
Gerold Lannister;Casterly Rock;1;Westerman;;;;House Lannister;Alysanne Farman;0;0;0;0;0;;;;1;1;1;0;0;0.0869565217391304; R$ 30.673,00 ; R$ 30.310,00 ;
Beldecar;;0;;;;;;;0;0;1;0;0;;;;;0;0;0;0;0.00668896321070234; R$ 29.123,00 ; R$ 31.626,00 ;
Palla;;0;Northmen;;;;House Stark;;0;1;0;1;0;;;;;0;0;1;0;0.020066889632107; R$ 53.207,00 ; R$ 72.114,00 ;
Maric Seaworth;Oarmaster;1;;;;;House Seaworth;;0;1;1;1;1;;;;;0;1;0;0;0.0635451505016722; R$ 27.035,00 ; R$ 53.588,00 ;
Oswell Whent;Ser;1;Rivermen;;;;House Whent;;1;0;1;0;1;;;;;0;1;1;0;0.0802675585284281; R$ 5.624,00 ; R$ 60.304,00 ;
Regenard Estren;Wyndhall;0;;;;;House Estren;;1;0;1;1;1;;;;;0;1;0;0;0.020066889632107; R$ 59.086,00 ; R$ 74.255,00 ;
Dagos Manwoody;Lord of Kingsgrave;1;;;;;House Manwoody;;0;0;1;1;1;;;;;0;1;0;0;0.0334448160535117; R$ 58.523,00 ; R$ 70.325,00 ;
Raymund Frey;Ser;1;;;;;House Frey;Beony Beesbury;0;1;1;1;1;;;;1;1;1;0;0;0.177257525083612; R$ 18.301,00 ; R$ 32.861,00 ;
Nettles;;0;;;;;Blacks;;0;0;0;0;0;;;;;0;0;0;0;0.0635451505016722; R$ 17.697,00 ; R$ 32.904,00 ;
Quentyn Ball;Ser;1;;;;;House Ball;;0;0;0;0;0;;;;;0;1;0;0;0.0668896321070234; R$ 5.121,00 ; R$ 69.084,00 ;
