Classificacao,Familia,Saldo_para_investimento,total_%,Nome
A,House Targaryen,938885.0,0.03895,Daenerys Targaryen
A,House Targaryen,39997.0,0.00166,Brynden Rivers
A,House Targaryen,33889.0,0.00141,Rhaenys Targaryen
A,House Targaryen,7542.0,0.00031,Mushroom
A,House Targaryen,25609.0,0.00106,Illyrio Mopatis
A,House Targaryen,38166.0,0.00158,Visenya Targaryen
A,House Targaryen,31852.0,0.00132,Jaehaerys Targaryen (son of Aegon II)
A,House Targaryen,20065.0,0.00083,Aemond Targaryen
A,House Targaryen,61899.0,0.00257,Aegon Targaryen (son of Rhaegar)
A,House Targaryen,6507.0,0.00027,Viserys Targaryen
A,House Targaryen,49939.0,0.00207,Daella Targaryen (daughter of Maekar I)
A,House Targaryen,22058.0,0.00091,Groleo
A,House Targaryen,48288.0,0.002,Saera Targaryen
A,House Targaryen,20430.0,0.00085,Daemon Targaryen
A,House Targaryen,28665.0,0.00119,Rhaenys Targaryen (daughter of Rhaegar)
A,House Targaryen,51433.0,0.00213,Rhaegel Targaryen
A,House Targaryen,32017.0,0.00133,Rhaella Targaryen
A,House Targaryen,23324.0,0.00097,Belwas
A,House Targaryen,43422.0,0.0018,Shiera Seastar
A,House Targaryen,946.0,4e-05,Rakharo
A,House Targaryen,53174.0,0.00221,Rolly Duckfield
A,House Targaryen,15119.0,0.00063,Elaena Targaryen
A,House Targaryen,28982.0,0.0012,Missandei
A,House Targaryen,40048.0,0.00166,Jaehaera Targaryen
A,House Targaryen,44439.0,0.00184,Aegon Targaryen (son of Baelon)
A,House Targaryen,23802.0,0.00099,Baela Targaryen
A,House Targaryen,60165.0,0.0025,Rhaena Targaryen (daughter of Aegon III)
A,House Targaryen,56781.0,0.00236,Aegon Targaryen (son of Aenys I)
A,House Targaryen,33403.0,0.00139,Valarr Targaryen
A,House Targaryen,18865.0,0.00078,Matarys Targaryen
A,House Targaryen,31724.0,0.00132,Daena Targaryen
A,House Lannnister,687896.0,0.02853,Tyrion Lannister
A,House Lannister,645842.0,0.02679,Cersei Lannister
A,House Lannister,36190.0,0.0015,Dorcas
A,House Lannister,26626.0,0.0011,Puckens
A,House Lannister,26985.0,0.00112,Pycelle
A,House Lannister,15436.0,0.00064,Damion Lannister
A,House Lannister,9579.0,0.0004,Jaime Lannister
A,House Lannister,14879.0,0.00062,Dunaver
A,House Lannister,53429.0,0.00222,Willem Lannister
A,House Lannister,60377.0,0.0025,Tybolt Lannister
A,House Lannister,21405.0,0.00089,Lester
A,House Lannister,65652.0,0.00272,Margot Lannister
A,House Lannister,48570.0,0.00201,Tregar
A,House Lannister,44934.0,0.00186,Cadwyn
A,House Lannister,18215.0,0.00076,Gerion Lannister
A,House Lannister,57588.0,0.00239,Lum
A,House Lannister,11203.0,0.00046,Janei Lannister
A,House Lannister,2410.0,0.0001,Joanna Lannister
A,House Lannister,67621.0,0.00281,Godwyn
A,House Lannister,17325.0,0.00072,Senelle
A,House Lannister,37999.0,0.00158,Jason Lannister
A,House Lannister,7579.0,0.00031,Daven Lannister
A,House Lannister,33286.0,0.00138,Shortear
A,House Lannister,7881.0,0.00033,Tytos Lannister
A,House Lannister,61111.0,0.00253,Tywin Lannister
A,House Lannister,26383.0,0.00109,Myrielle Lannister
A,House Lannister,53195.0,0.00221,Jodge
A,House Lannister,11587.0,0.00048,Lanna Lannister
A,House Lannister,39360.0,0.00163,Lann the Clever
A,House Starrkk,490084.0,0.02033,Arya Stark
A,House Starrkk,413916.0,0.01717,Jon Snow
B,House Meadows,55820.0,0.00232,Lysa Meadows
B,House Meadows,16508.0,0.00068,Elwood Meadows
A,House Stark,18907.0,0.00078,Palla
A,House Stark,19019.0,0.00079,TomToo
A,House Stark,22757.0,0.00094,Jacks
A,House Stark,38090.0,0.00158,Harwin
A,House Stark,3522.0,0.00015,Farlen
A,House Stark,11524.0,0.00048,Edwyle Stark
A,House Stark,36340.0,0.00151,Edwyn Stark
A,House Stark,24462.0,0.00101,Eyron Stark
A,House Stark,8248.0,0.00034,Brandon Stark (the daughterless)
A,House Stark,299.0,1e-05,Rodrik Stark
A,House Stark,30125.0,0.00125,Beron Stark
A,House Stark,32928.0,0.00137,Bran the Builder
A,House Stark,36690.0,0.00152,Eddard Stark
A,House Stark,1476.0,6e-05,Barthogan Stark
A,House Stark,45662.0,0.00189,Alyn
A,House Stark,27443.0,0.00114,Hodor
A,House Stark,21318.0,0.00088,Murch (Winterfell)
A,House Stark,1401.0,6e-05,Donnor Stark
A,House Stark,49412.0,0.00205,Brandon Stark
A,House Stark,25668.0,0.00106,Calon
A,House Stark,41529.0,0.00172,Jonos Stark
A,House Stark,28093.0,0.00117,Cregan Stark
A,House Stark,50762.0,0.00211,Walton Stark
A,House Stark,8726.0,0.00036,Gage
A,House Stark,44346.0,0.00184,Brandon Stark (Bad)
A,House Stark,9163.0,0.00038,Rickard Stark
A,House Stark,34371.0,0.00143,Jorah Stark
A,House Stark,59789.0,0.00248,Brandon Stark (son of Cregan)
A,House Stark,11285.0,0.00047,Quent
A,House Stark,25851.0,0.00107,Wyl (guard)
B,House Seaworth,26553.0,0.0011,Maric Seaworth
B,House Seaworth,16567.0,0.00069,Dale Seaworth
B,House Seaworth,21352.0,0.00089,Devan Seaworth
B,House Seaworth,52198.0,0.00217,Matthos Seaworth
B,House Seaworth,23125.0,0.00096,Davos Seaworth
A,House Whent,54680.0,0.00227,Oswell Whent
A,House Whent,41944.0,0.00174,Harra
A,House Whent,13614.0,0.00056,Ben Blackthumb
A,House Whent,29796.0,0.00124,Minisa Whent
A,House Whent,19311.0,0.0008,Weese
A,House Whent,33902.0,0.00141,Sarya Whent
A,House Whent,5589.0,0.00023,Wynafrei Whent
C,House Estren,15169.0,0.00063,Regenard Estren
B,House Manwoody,11802.0,0.00049,Dagos Manwoody
B,House Manwoody,37674.0,0.00156,Mors Manwoody
B,House Manwoody,18568.0,0.00077,Dickon Manwoody
A,House Frey,14560.0,0.0006,Raymund Frey
A,House Frey,2851.0,0.00012,Sarra Frey
A,House Frey,43663.0,0.00181,Olyvar Frey
A,House Frey,24111.0,0.001,Jonos Frey
A,House Frey,1136.0,5e-05,Tysane Frey
A,House Frey,8206.0,0.00034,Stevron Frey
A,House Frey,38101.0,0.00158,Shirei Frey
A,House Frey,20054.0,0.00083,Willem Frey
A,House Frey,45919.0,0.0019,Tywin Frey
A,House Frey,52560.0,0.00218,Perwyn Frey
A,House Frey,21280.0,0.00088,Maegelle Frey
A,House Frey,34069.0,0.00141,Alys Frey
A,House Frey,12528.0,0.00052,Steffon Frey
A,House Frey,10035.0,0.00042,Aenys Frey
A,House Frey,39598.0,0.00164,Elmar Frey
A,House Frey,19304.0,0.0008,Sandor Frey
A,House Frey,11517.0,0.00048,Kyra Frey
A,House Frey,45605.0,0.00189,Brenett
A,House Frey,27919.0,0.00116,Ronel Rivers
A,House Frey,33049.0,0.00137,Colmar Frey
A,House Frey,60442.0,0.00251,Androw Frey
A,House Frey,61571.0,0.00255,Cynthea Frey
A,House Frey,57805.0,0.0024,Arwyn Frey
A,House Frey,39571.0,0.00164,Hoster Frey
A,House Frey,20199.0,0.00084,Perra Frey
A,House Frey,1676.0,7e-05,Alyn Frey
A,House Frey,13579.0,0.00056,Walda Frey (daughter of Lothar)
A,House Frey,7013.0,0.00029,Morya Frey
A,House Frey,5644.0,0.00023,Bryan Frey
A,House Frey,39337.0,0.00163,Walda Rivers
A,House Frey,27623.0,0.00115,Ryella Frey
A,House Frey,38113.0,0.00158,Walda Frey (daughter of Edwyn)
A,House Frey,16214.0,0.00067,Malwyn Frey
A,House Frey,14739.0,0.00061,Ryger Rivers
A,House Frey,26325.0,0.00109,Walder Frey (son of Merrett)
A,House Frey,38385.0,0.00159,Jaime Frey
A,House Frey,9401.0,0.00039,Walder Frey
A,House Frey,40231.0,0.00167,Cleos Frey
A,House Frey,15257.0,0.00063,Jyanna Frey
A,House Frey,20011.0,0.00083,Robert Frey
A,House Frey,51389.0,0.00213,Tywin Frey (son of Raymund)
A,House Frey,38920.0,0.00161,Theo Frey
A,House Frey,5802.0,0.00024,Osmund Frey
A,House Frey,12963.0,0.00054,Zia Frey
A,House Frey,5190.0,0.00022,Emberlei Frey
A,House Frey,11846.0,0.00049,Tyta Frey
A,House Frey,35202.0,0.00146,Addam Frey
A,House Frey,27940.0,0.00116,Tytos Frey
A,House Frey,50301.0,0.00209,Benfrey Frey
